timestamp,kwh
2019-05-15 23:00:00+00:00,0.236754736
2019-05-15 23:30:00+00:00,0.25531092
2019-05-16 00:00:00+00:00,0.273365765
2019-05-16 00:30:00+00:00,0.260153714
2019-05-16 01:00:00+00:00,0.4574421
2019-05-16 01:30:00+00:00,0.450394919
2019-05-16 02:00:00+00:00,0.912133276
2019-05-16 02:30:00+00:00,0.961008494
2019-05-16 03:00:00+00:00,0.201116396
2019-05-16 03:30:00+00:00,0.236126639
2019-05-16 04:00:00+00:00,0.264772472
2019-05-16 04:30:00+00:00,0.259704484
2019-05-16 05:00:00+00:00,0.284697876
2019-05-16 05:30:00+00:00,0.326645707
2019-05-16 06:00:00+00:00,0.259513132
2019-05-16 06:30:00+00:00,0.242402479
2019-05-16 07:00:00+00:00,0.209733819
2019-05-16 07:30:00+00:00,0.231551059
2019-05-16 08:00:00+00:00,0.200075614
2019-05-16 08:30:00+00:00,0.225314459
2019-05-16 09:00:00+00:00,0.203018472
2019-05-16 09:30:00+00:00,0.205682035
2019-05-16 10:00:00+00:00,0.228121253
2019-05-16 10:30:00+00:00,0.242329159
2019-05-16 11:00:00+00:00,0.219670041
2019-05-16 11:30:00+00:00,0.267531454
2019-05-16 12:00:00+00:00,0.266767697
2019-05-16 12:30:00+00:00,0.203854255
2019-05-16 13:00:00+00:00,0.253344463
2019-05-16 13:30:00+00:00,0.213275649
2019-05-16 14:00:00+00:00,0.256848955
2019-05-16 14:30:00+00:00,0.245773349
2019-05-16 15:00:00+00:00,0.23557968
2019-05-16 15:30:00+00:00,0.257741682
2019-05-16 16:00:00+00:00,0.216452795
2019-05-16 16:30:00+00:00,0.216008407
2019-05-16 17:00:00+00:00,0.213077692
2019-05-16 17:30:00+00:00,0.263225751
2019-05-16 18:00:00+00:00,0.503851054
2019-05-16 18:30:00+00:00,0.507578003
2019-05-16 19:00:00+00:00,0.50838715
2019-05-16 19:30:00+00:00,0.50019926
2019-05-16 20:00:00+00:00,0.409601454
2019-05-16 20:30:00+00:00,0.437299913
2019-05-16 21:00:00+00:00,0.223924479
2019-05-16 21:30:00+00:00,0.268003796
2019-05-16 22:00:00+00:00,0.221002592
2019-05-16 22:30:00+00:00,0.229908841
2019-05-16 23:00:00+00:00,0.215685869
2019-05-16 23:30:00+00:00,0.210813517
2019-05-17 00:00:00+00:00,0.261919421
2019-05-17 00:30:00+00:00,0.234257129
2019-05-17 01:00:00+00:00,0.467355379
2019-05-17 01:30:00+00:00,0.469078485
2019-05-17 02:00:00+00:00,0.922123519
2019-05-17 02:30:00+00:00,0.952289243
2019-05-17 03:00:00+00:00,0.229791186
2019-05-17 03:30:00+00:00,0.260801233
2019-05-17 04:00:00+00:00,0.234475306
2019-05-17 04:30:00+00:00,0.293034116
2019-05-17 05:00:00+00:00,0.277372497
2019-05-17 05:30:00+00:00,0.320241718
2019-05-17 06:00:00+00:00,0.247325947
2019-05-17 06:30:00+00:00,0.20412312
2019-05-17 07:00:00+00:00,0.228138146
2019-05-17 07:30:00+00:00,0.265750003
2019-05-17 08:00:00+00:00,0.22893069
2019-05-17 08:30:00+00:00,0.200183952
2019-05-17 09:00:00+00:00,0.236590706
2019-05-17 09:30:00+00:00,0.211828703
2019-05-17 10:00:00+00:00,0.211102285
2019-05-17 10:30:00+00:00,0.263279328
2019-05-17 11:00:00+00:00,0.245466633
2019-05-17 11:30:00+00:00,0.210183419
2019-05-17 12:00:00+00:00,0.249317859
2019-05-17 12:30:00+00:00,0.225711899
2019-05-17 13:00:00+00:00,0.233878281
2019-05-17 13:30:00+00:00,0.218267261
2019-05-17 14:00:00+00:00,0.204957106
2019-05-17 14:30:00+00:00,0.265274654
2019-05-17 15:00:00+00:00,0.207092708
2019-05-17 15:30:00+00:00,0.254230021
2019-05-17 16:00:00+00:00,0.221322198
2019-05-17 16:30:00+00:00,0.200453766
2019-05-17 17:00:00+00:00,0.229970235
2019-05-17 17:30:00+00:00,0.22042206
2019-05-17 18:00:00+00:00,0.55139269
2019-05-17 18:30:00+00:00,0.569467568
2019-05-17 19:00:00+00:00,0.501863073
2019-05-17 19:30:00+00:00,0.531383727
2019-05-17 20:00:00+00:00,0.445025884
2019-05-17 20:30:00+00:00,0.413252861
2019-05-17 21:00:00+00:00,0.240974963
2019-05-17 21:30:00+00:00,0.221792474
2019-05-17 22:00:00+00:00,0.213767774
2019-05-17 22:30:00+00:00,0.211281408
2019-05-17 23:00:00+00:00,0.227503924
2019-05-17 23:30:00+00:00,0.25969511
2019-05-18 00:00:00+00:00,0.273331051
2019-05-18 00:30:00+00:00,0.244953543
2019-05-18 01:00:00+00:00,0.460626457
2019-05-18 01:30:00+00:00,0.433574633
2019-05-18 02:00:00+00:00,0.913124031
2019-05-18 02:30:00+00:00,0.951669621
2019-05-18 03:00:00+00:00,0.224826857
2019-05-18 03:30:00+00:00,0.212095535
2019-05-18 04:00:00+00:00,0.281068063
2019-05-18 04:30:00+00:00,0.246901883
2019-05-18 05:00:00+00:00,0.261351574
2019-05-18 05:30:00+00:00,0.306865479
2019-05-18 06:00:00+00:00,0.232013328
2019-05-18 06:30:00+00:00,0.236974518
2019-05-18 07:00:00+00:00,0.259267197
2019-05-18 07:30:00+00:00,0.203079237
2019-05-18 08:00:00+00:00,0.242460725
2019-05-18 08:30:00+00:00,0.26304253
2019-05-18 09:00:00+00:00,0.265949821
2019-05-18 09:30:00+00:00,0.224918488
2019-05-18 10:00:00+00:00,0.208147933
2019-05-18 10:30:00+00:00,0.242346774
2019-05-18 11:00:00+00:00,0.232366557
2019-05-18 11:30:00+00:00,0.210293539
2019-05-18 12:00:00+00:00,0.253698759
2019-05-18 12:30:00+00:00,0.244188493
2019-05-18 13:00:00+00:00,0.254747952
2019-05-18 13:30:00+00:00,0.211700999
2019-05-18 14:00:00+00:00,0.239663637
2019-05-18 14:30:00+00:00,0.236451421
2019-05-18 15:00:00+00:00,0.223750017
2019-05-18 15:30:00+00:00,0.208766902
2019-05-18 16:00:00+00:00,0.209560941
2019-05-18 16:30:00+00:00,0.213339596
2019-05-18 17:00:00+00:00,0.240407113
2019-05-18 17:30:00+00:00,0.216200239
2019-05-18 18:00:00+00:00,0.526296612
2019-05-18 18:30:00+00:00,0.543772704
